Denne uges indkoebsliste
 - Pasta 250 gram
 - Kyllingebryst 250 gram,
 - Broccoli 1 stk,
 - Karrysauce 3 dl
 - Hotdogbroed 1 pose
 - Loeg 1 stk,
 - Poelser 4 stk
 - Hakket-oksekoed 250 gram
 - Texmex-krydderiblanding 1 pakke,
 - Tortilla-wraps 1 pakke,
 - Agurk 1 stk,
 - Tomat 1 stk,
 - Majs 1 daase,
 - Salsa 1 daase
 - Hakket-svinekoed 150 gram
 - Finvalsede-havregryn 1 dl,
 - Maelk 1 dl,
 - aeg 1 stk,
 - Bacon 50 gram,
 - Kartofler 500 gram
 - Tortilla-chips 1 pose
 - Salsa 1 daase,
 - Cheddar-ost 150 gram,
 - Guacamola 1 daase
 - Lasagne-plader 8 stk
 - Squash 1 stk,
 - Guleroedder 3 stk,
 - Majs 1 daase,
 - Roedloeg 1 stk,
 - Mornaysauce 5 dl,
 - Mozerella-ost 150 gram
 - Nudler 250 gram
 - Loeg 2 stk,
 - Hvidloeg 1 fed,
 - Foraarsrulle-plader 1 pakke,
 - Bouillon 4 dl,
 - Margarine 20 gram,
 - Guleroedder 2 stk
